Date_time,Db1t_avg,Db2t_avg,Gb1t_avg,Gb2t_avg,Ot_avg
2017-01-01T00:00:00+01:00,9.9300003,7.360000099999999,17.77,17.1,3.46
2017-01-01T00:10:00+01:00,9.8999996,7.309999900000001,17.85,17.139999,3.4100001000000004
2017-01-01T00:20:00+01:00,9.8999996,7.3000002,17.91,17.16,2.8299999
2017-01-01T00:30:00+01:00,9.8900003,7.3000002,17.549999,17.1,2.5599999
2017-01-01T00:40:00+01:00,9.8199997,7.29,17.280001000000002,17.02,1.95
2017-01-01T00:50:00+01:00,9.8000002,7.23,16.959999,16.9,1.01
2017-01-01T01:00:00+01:00,9.7399998,7.1999998,16.73,16.85,0.33000001
2017-01-01T01:10:00+01:00,9.6000004,7.130000099999998,16.49,16.790001,1.25
2017-01-01T01:20:00+01:00,9.6000004,7.0,16.09,16.57,0.23
2017-01-01T01:30:00+01:00,9.4499998,6.96,15.91,16.42,-0.54000002
2017-01-01T01:40:00+01:00,9.3999996,6.900000099999999,15.67,16.299999,0.38
2017-01-01T01:50:00+01:00,9.3400002,6.7600002,15.34,16.16,-0.38
2017-01-01T02:00:00+01:00,9.29,6.6999998,15.2,16.0,-1.76
2017-01-01T02:10:00+01:00,9.1099997,6.619999900000002,14.98,15.94,-2.6099999
2017-01-01T02:20:00+01:00,9.0699997,6.54,14.65,15.75,-2.8199999
2017-01-01T02:30:00+01:00,9.0,6.4000001,14.51,15.7,-3.2
2017-01-01T02:40:00+01:00,8.8900003,6.3099999,14.35,15.6,-3.8199999
2017-01-01T02:50:00+01:00,8.8000002,6.1500001,14.08,15.35,-4.0100002
2017-01-01T03:00:00+01:00,8.739999800000001,6.0500002,13.99,15.2,-3.9200001
2017-01-01T03:10:00+01:00,8.6899996,5.9699998,13.8,15.14,-3.9200001
2017-01-01T03:20:00+01:00,8.5200005,5.8000002,13.59,14.9,-3.98
2017-01-01T03:30:00+01:00,8.46,5.7199998,13.5,14.8,-3.97
2017-01-01T03:40:00+01:00,8.3999996,5.579999900000002,13.33,14.78,-4.0
2017-01-01T03:50:00+01:00,8.2600002,5.46,13.21,14.55,-4.0300002
2017-01-01T04:00:00+01:00,8.199999799999999,5.369999900000002,13.39,14.49,-4.1799998
2017-01-01T04:10:00+01:00,8.130000099999998,5.1999998,13.67,14.52,-4.1999998
2017-01-01T04:20:00+01:00,8.0900002,5.0300002,13.94,14.59,-4.1999998
2017-01-01T04:30:00+01:00,7.940000099999999,4.9400001,14.25,14.76,-4.1999998
2017-01-01T04:40:00+01:00,7.900000099999999,4.8400002,14.47,14.83,-4.21
2017-01-01T04:50:00+01:00,7.809999900000001,4.6900001,14.65,14.9,-4.1300001
