Date_time,Db1t_avg,Db2t_avg,Gb1t_avg,Gb2t_avg,Ot_avg
2017-01-14T22:00:00+01:00,59.98,65.64,82.79,97.44,18.38
2017-01-14T22:10:00+01:00,42.91,40.13,72.78,76.6,5.6
2017-01-14T22:20:00+01:00,43.35,40.37,73.0,76.44,5.25
2017-01-14T22:30:00+01:00,46.57,44.64,74.14,79.19,7.07
2017-01-14T22:40:00+01:00,49.36,47.55,75.8,83.24,8.93
2017-01-14T22:50:00+01:00,40.27,31.0,65.0,65.71,1.22
2017-01-14T23:00:00+01:00,58.42,60.43,76.3,89.21,16.19
2017-01-14T23:10:00+01:00,46.59,40.53,67.7,70.66,5.67
2017-01-14T23:20:00+01:00,62.51,66.77,78.78,92.61,18.3
2017-01-14T23:30:00+01:00,46.32,39.3,71.17,74.15,4.12
2017-01-14T23:40:00+01:00,59.72,61.03,80.64,91.32,14.56
2017-01-14T23:50:00+01:00,57.6,56.83,77.84,86.33,12.16
2017-01-15T00:00:00+01:00,56.18,54.01,75.34,82.57,10.27
2017-01-15T00:10:00+01:00,66.15,70.08,82.71,96.64,17.98
2017-01-15T00:20:00+01:00,45.87,35.75,68.42,68.26,0.56
2017-01-15T00:30:00+01:00,65.56,67.86,83.09,96.4,16.58
2017-01-15T00:40:00+01:00,49.86,40.6,68.31,70.96,3.68
2017-01-15T00:50:00+01:00,51.68,43.15,67.04,70.73,5.33
2017-01-15T01:00:00+01:00,56.45,51.28,70.36,76.3,8.81
2017-01-15T01:10:00+01:00,51.11,42.32,66.59,68.84,3.99
2017-01-15T01:20:00+01:00,51.8,43.3,66.26,68.15,4.36
2017-01-15T01:30:00+01:00,70.92,75.11,77.61,91.19,19.96
2017-01-15T01:40:00+01:00,60.76,58.07,70.01,76.4,11.24
2017-01-15T01:50:00+01:00,53.24,48.36,65.92,69.34,7.47
2017-01-15T02:00:00+01:00,48.76,45.88,63.94,67.95,7.33
2017-01-15T02:10:00+01:00,49.01,50.6,61.38,68.53,8.98
2017-01-15T02:20:00+01:00,46.63,49.25,58.31,65.53,8.34
2017-01-15T02:30:00+01:00,39.08,38.19,56.69,59.52,4.02
2017-01-15T02:40:00+01:00,54.24,63.59,71.39,84.11,17.58
2017-01-15T02:50:00+01:00,35.91,31.91,60.62,60.02,1.66
2017-01-15T03:00:00+01:00,37.9,34.01,62.27,62.16,2.5
2017-01-15T03:10:00+01:00,54.91,61.01,73.37,83.84,15.77
2017-01-15T03:20:00+01:00,52.5,55.75,72.82,81.79,12.87
2017-01-15T03:30:00+01:00,57.17,62.35,76.22,87.64,15.91
2017-01-15T03:40:00+01:00,48.57,47.0,70.89,76.1,7.9
2017-01-15T03:50:00+01:00,41.94,34.9,67.28,67.52,1.55
2017-01-15T04:00:00+01:00,52.76,52.05,73.94,80.73,9.83
2017-01-15T04:10:00+01:00,60.99,64.95,78.95,90.73,16.1
2017-01-15T04:20:00+01:00,52.07,49.32,72.4,77.82,8.14
2017-01-15T04:30:00+01:00,58.59,59.52,76.89,86.32,13.02
2017-01-15T04:40:00+01:00,58.2,58.23,75.92,84.57,12.13
2017-01-15T04:50:00+01:00,56.67,55.16,73.2,80.18,10.4
2017-01-15T05:00:00+01:00,47.23,38.93,65.4,65.59,2.04
2017-01-15T05:10:00+01:00,47.31,38.63,64.64,64.63,1.7
2017-01-15T05:20:00+01:00,67.44,71.77,77.91,91.31,17.99
2017-01-15T05:30:00+01:00,64.46,66.25,75.35,86.15,15.06
2017-01-15T05:40:00+01:00,57.37,54.08,69.64,75.34,8.75
2017-01-15T05:50:00+01:00,65.27,67.47,70.42,81.96,14.66
2017-01-15T06:00:00+01:00,59.73,57.82,70.48,78.96,10.2
2017-01-15T06:10:00+01:00,61.49,60.23,74.09,83.44,11.66
2017-01-15T06:20:00+01:00,62.5,61.52,73.66,82.34,12.26
2017-01-15T06:30:00+01:00,58.48,54.54,70.19,75.74,8.63
2017-01-15T06:40:00+01:00,63.48,63.2,74.21,84.23,13.29
2017-01-15T06:50:00+01:00,64.85,69.86,79.47,94.43,18.29
2017-01-15T07:00:00+01:00,42.81,37.89,67.29,70.41,3.74
2017-01-15T07:10:00+01:00,52.63,57.67,76.08,87.04,14.14
2017-01-15T07:20:00+01:00,36.16,30.06,64.14,63.45,-0.07
2017-01-15T07:30:00+01:00,60.77,69.99,81.09,96.58,19.56
2017-01-15T07:40:00+01:00,55.11,59.33,75.98,86.32,13.98
2017-01-15T07:50:00+01:00,39.23,31.72,64.48,64.05,0.02
2017-01-15T08:00:00+01:00,55.01,56.95,75.47,85.37,12.52
2017-01-15T08:10:00+01:00,52.34,51.46,75.14,82.57,9.62
2017-01-15T08:20:00+01:00,43.76,36.28,67.68,68.32,1.98
2017-01-15T08:30:00+01:00,61.32,64.7,80.98,93.62,16.04
2017-01-15T08:40:00+01:00,64.94,69.96,82.65,96.57,18.48
2017-01-15T08:50:00+01:00,46.82,39.05,69.39,70.83,2.97
2017-01-15T09:00:00+01:00,53.8,50.2,72.58,78.44,8.4
2017-01-15T09:10:00+01:00,45.8,36.34,65.81,65.73,1.39
2017-01-15T09:20:00+01:00,52.84,47.69,69.68,73.99,7.21
2017-01-15T09:30:00+01:00,68.44,73.36,79.36,93.78,20.02
2017-01-15T09:40:00+01:00,66.45,69.57,77.82,90.53,18.28
2017-01-15T09:50:00+01:00,55.06,50.27,68.69,72.69,8.35
2017-01-15T10:00:00+01:00,55.2,51.32,69.01,74.07,9.15
2017-01-15T10:10:00+01:00,43.18,35.68,63.53,64.12,2.63
2017-01-15T10:20:00+01:00,37.05,29.84,61.87,61.27,1.33
2017-01-15T10:30:00+01:00,40.02,38.05,65.29,67.98,6.07
2017-01-15T10:40:00+01:00,51.48,57.47,73.74,84.25,15.71
2017-01-15T10:50:00+01:00,56.63,64.97,76.9,89.94,19.3
2017-01-15T11:00:00+01:00,60.72,70.53,79.45,94.57,21.79
2017-01-15T11:10:00+01:00,45.83,44.45,68.49,72.48,8.27
2017-01-15T11:20:00+01:00,58.39,64.31,75.36,86.66,18.18
2017-01-15T11:30:00+01:00,44.39,40.11,64.26,65.57,5.96
2017-01-15T11:40:00+01:00,46.81,44.36,61.39,65.3,7.69
2017-01-15T11:50:00+01:00,48.38,46.83,60.93,65.65,8.48
2017-01-15T12:00:00+01:00,42.57,36.8,56.14,57.04,3.68
2017-01-15T12:10:00+01:00,56.17,59.73,63.33,74.04,15.07
2017-01-15T12:20:00+01:00,41.45,35.88,51.94,53.34,3.38
2017-01-15T12:30:00+01:00,58.4,64.54,62.39,75.27,17.73
2017-01-15T12:40:00+01:00,53.97,57.5,58.73,68.98,14.0
2017-01-15T12:50:00+01:00,63.26,73.39,64.26,81.08,21.94
2017-01-15T13:00:00+01:00,45.35,43.21,56.34,59.73,7.07
2017-01-15T13:10:00+01:00,56.24,60.9,68.02,77.43,16.48
2017-01-15T13:20:00+01:00,61.89,69.83,72.88,84.97,21.2
2017-01-15T13:30:00+01:00,55.61,59.16,68.58,75.26,15.64
2017-01-15T13:40:00+01:00,53.43,55.28,66.78,71.59,12.91
2017-01-15T13:50:00+01:00,59.9,66.25,67.27,78.06,17.59
2017-01-15T14:00:00+01:00,60.86,68.25,65.01,77.17,18.37
2017-01-15T14:10:00+01:00,46.6,44.93,53.79,57.05,6.34
2017-01-15T14:20:00+01:00,62.32,71.35,63.01,77.27,19.34
2017-01-15T14:30:00+01:00,43.37,39.68,50.03,51.72,3.56
2017-01-15T14:40:00+01:00,56.9,61.33,63.43,72.59,15.48
2017-01-15T14:50:00+01:00,54.41,57.26,61.15,69.28,12.93
2017-01-15T15:00:00+01:00,47.51,45.05,60.29,62.73,7.0
2017-01-15T15:10:00+01:00,53.7,54.83,65.75,71.28,11.78
2017-01-15T15:20:00+01:00,46.54,42.45,60.89,60.58,5.42
2017-01-15T15:30:00+01:00,50.46,48.65,62.16,64.54,8.01
2017-01-15T15:40:00+01:00,53.46,54.13,59.84,65.72,9.9
2017-01-15T15:50:00+01:00,49.33,47.7,54.61,58.46,6.26
2017-01-15T16:00:00+01:00,56.86,60.52,57.94,67.47,12.49
2017-01-15T16:10:00+01:00,65.57,75.24,62.51,78.51,19.86
2017-01-15T16:20:00+01:00,59.08,64.76,57.34,69.47,14.72
2017-01-15T16:30:00+01:00,51.14,52.15,51.55,58.85,8.4
2017-01-15T16:40:00+01:00,64.66,75.03,60.23,76.83,19.89
2017-01-15T16:50:00+01:00,44.19,41.44,46.3,49.61,3.22
2017-01-15T17:00:00+01:00,46.14,44.89,47.32,52.27,5.1
2017-01-15T17:10:00+01:00,48.59,49.53,48.67,55.64,7.54
2017-01-15T17:20:00+01:00,43.15,40.92,44.56,48.69,3.33
2017-01-15T17:30:00+01:00,51.54,55.35,49.89,60.02,10.73
2017-01-15T17:40:00+01:00,59.67,69.76,54.83,71.43,18.04
2017-01-15T17:50:00+01:00,50.05,54.19,49.07,58.8,10.41
2017-01-15T18:00:00+01:00,47.24,49.66,47.88,55.53,8.4
2017-01-15T18:10:00+01:00,60.53,71.85,57.17,73.74,19.83
2017-01-15T18:20:00+01:00,44.69,45.16,48.23,53.55,7.02
2017-01-15T18:30:00+01:00,43.84,43.27,55.26,57.35,7.08
2017-01-15T18:40:00+01:00,58.99,68.06,69.31,79.97,19.72
2017-01-15T18:50:00+01:00,57.68,65.27,69.62,78.8,18.37
2017-01-15T19:00:00+01:00,46.44,45.94,62.55,64.09,8.58
2017-01-15T19:10:00+01:00,38.0,31.21,57.82,54.27,1.01
2017-01-15T19:20:00+01:00,49.77,50.04,65.45,69.47,10.23
2017-01-15T19:30:00+01:00,40.04,33.18,58.84,56.16,1.57
2017-01-15T19:40:00+01:00,62.11,69.21,72.84,84.34,19.37
2017-01-15T19:50:00+01:00,60.57,65.96,71.97,82.38,17.49
2017-01-15T20:00:00+01:00,62.01,67.59,72.95,84.0,18.13
2017-01-15T20:10:00+01:00,54.61,54.65,67.37,72.91,11.47
2017-01-15T20:20:00+01:00,60.97,64.59,70.59,79.62,16.34
2017-01-15T20:30:00+01:00,52.19,49.35,63.92,66.31,8.53
2017-01-15T20:40:00+01:00,64.42,69.2,71.3,81.45,18.22
2017-01-15T20:50:00+01:00,62.6,65.72,69.32,77.4,16.13
2017-01-15T21:00:00+01:00,50.1,44.47,60.32,59.44,5.15
2017-01-15T21:10:00+01:00,48.65,41.67,59.02,56.67,3.33
2017-01-15T21:20:00+01:00,61.74,63.76,68.26,75.22,14.59
2017-01-15T21:30:00+01:00,54.78,56.18,66.58,72.73,12.2
2017-01-15T21:40:00+01:00,44.65,43.55,61.91,63.59,7.26
2017-01-15T21:50:00+01:00,50.3,56.19,67.78,75.34,14.45
2017-01-15T22:00:00+01:00,50.47,56.94,68.07,75.77,14.66
