Date_time,Db1t_avg,Db2t_avg,Gb1t_avg,Gb2t_avg,Ot_avg
2017-01-14T22:00:00+01:00,38.45,29.76,68.44,68.74,0.44
2017-01-14T22:10:00+01:00,36.67,29.73,68.62,68.28,0.4
2017-01-14T22:20:00+01:00,37.54,30.69,69.12,68.69,0.41
2017-01-14T22:30:00+01:00,38.57,31.32,68.81,68.54,0.41
2017-01-14T22:40:00+01:00,39.14,30.5,68.98,69.6,0.41
2017-01-14T22:50:00+01:00,39.36,29.48,64.39,64.5,0.47
2017-01-14T23:00:00+01:00,39.56,28.99,63.73,64.06,0.47
2017-01-14T23:10:00+01:00,40.31,30.07,63.52,62.29,0.44
2017-01-14T23:20:00+01:00,41.03,30.97,64.46,63.97,0.4
2017-01-14T23:30:00+01:00,41.87,31.89,68.21,68.23,0.42
2017-01-14T23:40:00+01:00,42.72,32.69,69.31,68.65,0.39
2017-01-14T23:50:00+01:00,43.48,33.3,68.43,67.51,0.39
2017-01-15T00:00:00+01:00,44.18,34.01,67.34,66.57,0.27
2017-01-15T00:10:00+01:00,44.84,34.55,68.5,68.22,0.21
2017-01-15T00:20:00+01:00,45.45,35.05,68.14,67.69,0.21
2017-01-15T00:30:00+01:00,45.86,35.02,69.95,70.13,0.16
2017-01-15T00:40:00+01:00,45.61,33.51,65.47,65.3,0.14
2017-01-15T00:50:00+01:00,45.48,32.83,62.91,62.47,0.17
2017-01-15T01:00:00+01:00,45.91,33.72,63.34,62.25,0.03
2017-01-15T01:10:00+01:00,46.33,34.36,63.41,62.47,0.01
2017-01-15T01:20:00+01:00,46.79,34.94,62.92,61.46,0.18
2017-01-15T01:30:00+01:00,47.24,35.63,61.82,59.62,0.22
2017-01-15T01:40:00+01:00,47.62,36.16,61.25,58.88,0.28
2017-01-15T01:50:00+01:00,44.56,33.89,60.13,57.76,0.23
2017-01-15T02:00:00+01:00,40.18,31.59,58.22,56.51,0.18
2017-01-15T02:10:00+01:00,38.29,32.74,54.24,54.24,0.06
2017-01-15T02:20:00+01:00,36.59,32.52,51.62,52.14,-0.02
2017-01-15T02:30:00+01:00,34.15,29.98,53.4,52.95,-0.08
2017-01-15T02:40:00+01:00,33.05,28.28,57.26,55.87,-0.07
2017-01-15T02:50:00+01:00,33.82,28.42,59.22,57.23,-0.08
2017-01-15T03:00:00+01:00,34.82,28.86,60.21,58.04,-0.07
2017-01-15T03:10:00+01:00,35.9,29.32,60.7,58.49,-0.08
2017-01-15T03:20:00+01:00,36.98,29.89,62.48,61.09,-0.07
2017-01-15T03:30:00+01:00,38.0,30.4,63.44,62.08,-0.07
2017-01-15T03:40:00+01:00,39.01,31.06,64.52,63.36,-0.07
2017-01-15T03:50:00+01:00,40.0,31.67,65.99,64.94,-0.06
2017-01-15T04:00:00+01:00,40.88,32.26,66.03,64.9,-0.06
2017-01-15T04:10:00+01:00,41.69,32.79,66.08,65.0,0.02
2017-01-15T04:20:00+01:00,42.42,33.24,65.96,64.95,0.1
2017-01-15T04:30:00+01:00,43.12,33.73,66.57,65.68,0.12
2017-01-15T04:40:00+01:00,43.76,34.16,66.29,65.32,0.1
2017-01-15T04:50:00+01:00,44.35,34.63,64.99,63.76,0.13
2017-01-15T05:00:00+01:00,44.9,35.05,63.84,62.48,0.09
2017-01-15T05:10:00+01:00,45.42,35.48,63.39,62.11,0.12
2017-01-15T05:20:00+01:00,45.94,35.94,63.58,62.65,0.07
2017-01-15T05:30:00+01:00,46.5,36.31,63.38,62.2,0.1
2017-01-15T05:40:00+01:00,47.01,36.81,62.74,61.53,0.12
2017-01-15T05:50:00+01:00,47.66,38.11,58.68,58.48,-0.02
2017-01-15T06:00:00+01:00,47.34,37.17,62.22,62.44,-0.13
2017-01-15T06:10:00+01:00,47.33,36.63,64.65,64.56,-0.14
2017-01-15T06:20:00+01:00,47.63,36.73,63.74,62.51,-0.13
2017-01-15T06:30:00+01:00,48.0,37.08,63.2,61.77,-0.1
2017-01-15T06:40:00+01:00,47.31,36.26,63.43,62.67,-0.18
2017-01-15T06:50:00+01:00,42.52,32.66,64.59,64.67,-0.32
2017-01-15T07:00:00+01:00,37.9,29.7,64.01,63.86,-0.35
2017-01-15T07:10:00+01:00,35.25,28.7,64.49,63.86,-0.34
2017-01-15T07:20:00+01:00,35.83,29.51,63.92,63.01,-0.34
2017-01-15T07:30:00+01:00,36.88,30.18,65.17,64.73,-0.34
2017-01-15T07:40:00+01:00,37.98,30.79,64.56,63.48,-0.29
2017-01-15T07:50:00+01:00,38.92,31.21,64.28,63.65,-0.23
2017-01-15T08:00:00+01:00,39.8,31.6,65.33,65.1,-0.15
2017-01-15T08:10:00+01:00,40.72,32.1,67.4,67.09,-0.06
2017-01-15T08:20:00+01:00,41.52,32.54,66.18,65.32,0.1
2017-01-15T08:30:00+01:00,42.29,32.98,68.29,68.24,0.17
2017-01-15T08:40:00+01:00,43.03,33.43,68.04,67.34,0.22
2017-01-15T08:50:00+01:00,43.71,33.86,67.31,66.68,0.38
2017-01-15T09:00:00+01:00,44.28,34.32,66.23,65.74,0.47
2017-01-15T09:10:00+01:00,44.87,34.8,65.19,64.5,0.62
2017-01-15T09:20:00+01:00,45.39,35.28,64.72,64.06,1.0
2017-01-15T09:30:00+01:00,45.9,35.81,64.34,63.73,1.24
2017-01-15T09:40:00+01:00,46.54,36.37,64.54,63.97,1.68
2017-01-15T09:50:00+01:00,47.05,36.9,63.35,62.01,1.67
2017-01-15T10:00:00+01:00,46.02,36.03,62.89,61.84,1.5
2017-01-15T10:10:00+01:00,41.48,32.84,62.4,61.85,1.21
2017-01-15T10:20:00+01:00,37.14,29.98,61.93,61.38,1.41
2017-01-15T10:30:00+01:00,34.38,28.66,61.53,60.46,1.38
2017-01-15T10:40:00+01:00,34.6,29.34,62.49,61.74,1.65
2017-01-15T10:50:00+01:00,35.71,30.11,62.95,62.05,1.87
2017-01-15T11:00:00+01:00,36.93,30.89,63.59,62.86,1.97
2017-01-15T11:10:00+01:00,38.1,31.55,63.33,62.17,1.82
2017-01-15T11:20:00+01:00,39.12,32.19,62.51,60.96,2.12
2017-01-15T11:30:00+01:00,40.08,32.92,61.39,59.82,2.37
2017-01-15T11:40:00+01:00,40.82,34.38,57.4,57.31,2.69
2017-01-15T11:50:00+01:00,40.91,34.39,55.95,55.69,2.25
2017-01-15T12:00:00+01:00,41.0,34.19,55.1,54.96,2.38
2017-01-15T12:10:00+01:00,41.1,34.62,53.29,53.96,2.52
2017-01-15T12:20:00+01:00,40.86,34.9,51.55,52.56,2.89
2017-01-15T12:30:00+01:00,40.63,34.93,50.54,51.58,2.92
2017-01-15T12:40:00+01:00,40.33,34.77,49.63,50.79,2.63
2017-01-15T12:50:00+01:00,39.93,34.51,48.7,49.97,2.5
2017-01-15T13:00:00+01:00,39.35,33.21,52.34,51.74,2.07
2017-01-15T13:10:00+01:00,39.19,32.47,56.65,54.69,2.27
2017-01-15T13:20:00+01:00,39.57,32.64,58.0,55.22,2.6
2017-01-15T13:30:00+01:00,40.05,33.23,58.21,54.51,2.67
2017-01-15T13:40:00+01:00,40.71,34.08,58.3,54.63,2.31
2017-01-15T13:50:00+01:00,41.48,35.54,54.99,53.49,2.24
2017-01-15T14:00:00+01:00,41.68,36.27,52.22,51.59,2.38
2017-01-15T14:10:00+01:00,41.51,36.44,50.39,50.26,2.1
2017-01-15T14:20:00+01:00,41.36,36.41,49.03,49.32,1.87
2017-01-15T14:30:00+01:00,41.16,35.99,48.55,48.77,1.71
2017-01-15T14:40:00+01:00,40.61,34.18,52.57,50.87,1.9
2017-01-15T14:50:00+01:00,40.74,34.48,52.04,51.06,1.54
2017-01-15T15:00:00+01:00,40.7,33.71,55.75,53.65,1.32
2017-01-15T15:10:00+01:00,41.04,33.74,57.31,54.41,1.23
2017-01-15T15:20:00+01:00,41.57,34.16,57.57,53.95,1.27
2017-01-15T15:30:00+01:00,42.23,34.92,56.67,53.56,1.15
2017-01-15T15:40:00+01:00,42.78,36.32,52.72,51.47,1.0
2017-01-15T15:50:00+01:00,42.74,36.72,50.22,49.67,0.77
2017-01-15T16:00:00+01:00,42.56,36.7,48.41,48.41,0.58
2017-01-15T16:10:00+01:00,42.3,36.45,47.0,47.49,0.47
2017-01-15T16:20:00+01:00,42.0,36.3,45.96,46.71,0.49
2017-01-15T16:30:00+01:00,41.58,36.21,45.18,46.1,0.43
2017-01-15T16:40:00+01:00,41.21,35.95,44.6,45.56,0.35
2017-01-15T16:50:00+01:00,40.79,35.77,44.03,45.07,0.38
2017-01-15T17:00:00+01:00,40.36,35.25,43.46,44.56,0.29
2017-01-15T17:10:00+01:00,39.91,35.05,42.88,44.06,0.31
2017-01-15T17:20:00+01:00,39.42,34.7,42.07,43.72,0.22
2017-01-15T17:30:00+01:00,38.93,34.34,41.48,43.21,0.22
2017-01-15T17:40:00+01:00,38.29,34.13,40.58,42.92,0.22
2017-01-15T17:50:00+01:00,37.82,33.81,40.92,42.49,0.22
2017-01-15T18:00:00+01:00,37.43,33.3,41.34,42.44,0.22
2017-01-15T18:10:00+01:00,37.0,32.62,41.48,42.37,0.22
2017-01-15T18:20:00+01:00,36.53,31.56,42.79,42.67,0.21
2017-01-15T18:30:00+01:00,35.61,29.55,49.77,46.37,0.22
2017-01-15T18:40:00+01:00,35.6,29.08,53.72,48.79,0.23
2017-01-15T18:50:00+01:00,35.99,29.13,55.16,49.89,0.3
2017-01-15T19:00:00+01:00,36.53,29.43,55.95,50.88,0.33
2017-01-15T19:10:00+01:00,37.18,29.85,57.27,53.18,0.33
2017-01-15T19:20:00+01:00,37.88,30.24,57.52,53.63,0.33
2017-01-15T19:30:00+01:00,38.56,30.7,57.85,54.18,0.33
2017-01-15T19:40:00+01:00,39.27,31.13,57.6,53.88,0.33
2017-01-15T19:50:00+01:00,39.95,31.58,58.22,54.88,0.3
2017-01-15T20:00:00+01:00,40.66,32.01,58.72,55.53,0.33
2017-01-15T20:10:00+01:00,41.3,32.46,58.5,55.15,0.37
2017-01-15T20:20:00+01:00,41.93,32.85,57.9,54.24,0.48
2017-01-15T20:30:00+01:00,42.56,33.3,57.5,53.48,0.51
2017-01-15T20:40:00+01:00,43.19,33.82,57.15,53.15,0.54
2017-01-15T20:50:00+01:00,43.9,34.54,56.85,52.46,0.54
2017-01-15T21:00:00+01:00,44.58,35.27,56.64,52.07,0.55
2017-01-15T21:10:00+01:00,45.31,36.09,56.79,52.2,0.54
2017-01-15T21:20:00+01:00,44.79,35.51,56.96,52.63,0.47
2017-01-15T21:30:00+01:00,40.55,32.46,57.09,53.76,0.34
2017-01-15T21:40:00+01:00,36.35,29.72,56.37,52.52,0.34
2017-01-15T21:50:00+01:00,33.36,27.97,56.49,52.76,0.33
2017-01-15T22:00:00+01:00,33.29,28.31,56.62,52.86,0.34
2017-01-15T22:10:00+01:00,34.35,28.96,56.28,51.88,0.35
2017-01-15T22:20:00+01:00,35.48,29.76,56.17,51.49,0.37
2017-01-15T22:30:00+01:00,36.65,30.59,56.16,51.42,0.48
2017-01-15T22:40:00+01:00,37.77,31.78,53.48,50.53,0.53
2017-01-15T22:50:00+01:00,38.17,32.74,49.87,48.56,0.41
2017-01-15T23:00:00+01:00,38.18,33.04,47.64,47.05,0.35
2017-01-15T23:10:00+01:00,38.18,33.13,46.3,46.13,0.37
2017-01-15T23:20:00+01:00,38.13,32.94,45.29,45.45,0.37
2017-01-15T23:30:00+01:00,38.05,32.54,44.56,44.97,0.43
2017-01-15T23:40:00+01:00,37.83,32.13,43.89,44.46,0.54
2017-01-15T23:50:00+01:00,37.56,31.77,43.32,43.98,0.55
2017-01-16T00:00:00+01:00,37.22,31.51,42.8,43.51,0.52
2017-01-16T00:10:00+01:00,36.91,31.07,42.45,43.13,0.38
2017-01-16T00:20:00+01:00,36.66,30.38,42.32,42.85,0.36
2017-01-16T00:30:00+01:00,36.33,29.65,42.25,42.73,0.36
2017-01-16T00:40:00+01:00,35.91,28.94,41.99,42.47,0.36
2017-01-16T00:50:00+01:00,35.41,28.33,41.83,42.21,0.36
2017-01-16T01:00:00+01:00,34.94,27.84,41.58,41.97,0.36
2017-01-16T01:10:00+01:00,34.58,27.34,41.32,41.71,0.36
2017-01-16T01:20:00+01:00,34.12,26.72,41.13,41.46,0.36
2017-01-16T01:30:00+01:00,33.62,26.24,40.93,41.2,0.36
2017-01-16T01:40:00+01:00,33.14,25.65,40.83,41.05,0.34
2017-01-16T01:50:00+01:00,32.65,25.13,40.5,40.77,0.31
2017-01-16T02:00:00+01:00,31.92,24.4,42.39,41.39,0.27
2017-01-16T02:10:00+01:00,31.02,23.4,49.27,44.88,0.28
2017-01-16T02:20:00+01:00,30.99,23.71,52.48,45.88,0.32
2017-01-16T02:30:00+01:00,31.36,24.35,53.85,47.0,0.33
2017-01-16T02:40:00+01:00,31.91,25.02,55.23,49.43,0.27
2017-01-16T02:50:00+01:00,32.56,25.58,57.62,53.81,0.27
2017-01-16T03:00:00+01:00,33.22,26.11,59.4,56.15,0.28
2017-01-16T03:10:00+01:00,33.87,26.53,59.56,56.16,0.27
2017-01-16T03:20:00+01:00,34.5,26.93,58.9,55.38,0.28
2017-01-16T03:30:00+01:00,35.05,27.37,60.89,58.44,0.13
2017-01-16T03:40:00+01:00,35.68,27.78,61.09,58.19,0.08
2017-01-16T03:50:00+01:00,36.3,28.18,59.31,55.81,0.1
2017-01-16T04:00:00+01:00,36.89,28.62,58.17,54.49,0.05
2017-01-16T04:10:00+01:00,37.53,29.1,57.82,54.43,0.02
2017-01-16T04:20:00+01:00,38.16,29.56,57.01,53.28,0.04
2017-01-16T04:30:00+01:00,38.84,30.12,56.61,52.55,0.01
2017-01-16T04:40:00+01:00,39.51,30.71,57.08,53.45,-0.12
2017-01-16T04:50:00+01:00,40.14,31.16,57.82,54.65,-0.21
2017-01-16T05:00:00+01:00,40.8,31.54,57.81,54.59,-0.24
2017-01-16T05:10:00+01:00,41.4,31.99,60.59,58.78,-0.31
2017-01-16T05:20:00+01:00,41.98,32.28,64.06,62.55,-0.44
2017-01-16T05:30:00+01:00,42.47,32.62,65.94,64.08,-0.6
2017-01-16T05:40:00+01:00,42.9,32.83,63.98,61.59,-0.53
2017-01-16T05:50:00+01:00,43.28,33.05,62.1,59.69,-0.5
2017-01-16T06:00:00+01:00,43.66,33.31,60.84,58.5,-0.38
2017-01-16T06:10:00+01:00,44.02,33.54,60.43,58.31,-0.33
2017-01-16T06:20:00+01:00,44.38,33.81,59.48,56.75,-0.47
2017-01-16T06:30:00+01:00,44.81,34.11,59.99,57.91,-0.55
2017-01-16T06:40:00+01:00,45.25,34.37,59.0,56.22,-0.5
2017-01-16T06:50:00+01:00,45.82,35.59,55.52,53.85,-0.64
2017-01-16T07:00:00+01:00,46.04,36.39,52.46,51.83,-0.85
2017-01-16T07:10:00+01:00,46.0,36.19,50.72,50.52,-0.9
2017-01-16T07:20:00+01:00,45.73,35.57,49.51,49.68,-0.89
2017-01-16T07:30:00+01:00,45.26,34.91,48.78,49.08,-0.95
2017-01-16T07:40:00+01:00,43.83,32.77,54.77,54.0,-1.17
2017-01-16T07:50:00+01:00,43.17,31.99,57.9,56.29,-1.12
2017-01-16T08:00:00+01:00,43.14,31.97,58.86,56.38,-1.12
2017-01-16T08:10:00+01:00,43.31,32.2,59.18,56.42,-0.86
2017-01-16T08:20:00+01:00,43.61,32.54,58.75,55.73,-0.78
2017-01-16T08:30:00+01:00,43.95,32.87,58.3,55.16,-0.79
2017-01-16T08:40:00+01:00,44.32,33.3,58.9,56.04,-0.84
2017-01-16T08:50:00+01:00,44.74,33.65,59.59,57.07,-0.55
2017-01-16T09:00:00+01:00,45.16,33.96,59.76,57.22,-0.33
2017-01-16T09:10:00+01:00,45.6,34.37,59.4,56.54,-0.06
2017-01-16T09:20:00+01:00,46.05,34.77,60.18,58.01,0.19
2017-01-16T09:30:00+01:00,46.49,35.06,60.36,58.01,-0.04
2017-01-16T09:40:00+01:00,46.96,35.44,61.57,59.67,0.21
2017-01-16T09:50:00+01:00,47.28,35.58,61.0,58.69,0.16
2017-01-16T10:00:00+01:00,47.65,35.83,61.02,59.01,0.12
2017-01-16T10:10:00+01:00,48.07,36.13,60.76,58.61,0.1
2017-01-16T10:20:00+01:00,46.77,34.82,61.01,59.46,-0.15
2017-01-16T10:30:00+01:00,41.88,31.56,60.59,59.2,-0.21
2017-01-16T10:40:00+01:00,37.26,28.7,60.38,58.97,-0.13
2017-01-16T10:50:00+01:00,34.79,27.88,59.93,58.11,0.32
2017-01-16T11:00:00+01:00,35.11,28.72,57.81,56.03,1.17
2017-01-16T11:10:00+01:00,35.72,30.04,53.34,52.95,1.75
2017-01-16T11:20:00+01:00,35.9,30.45,50.68,50.75,1.18
2017-01-16T11:30:00+01:00,36.1,30.39,49.22,49.47,0.88
2017-01-16T11:40:00+01:00,35.92,29.54,52.8,52.47,0.52
2017-01-16T11:50:00+01:00,35.96,28.84,58.73,58.54,1.36
2017-01-16T12:00:00+01:00,36.6,29.22,61.71,60.35,2.72
2017-01-16T12:10:00+01:00,37.31,29.63,60.25,57.63,4.27
2017-01-16T12:20:00+01:00,38.0,30.3,58.5,55.0,4.59
2017-01-16T12:30:00+01:00,38.73,31.29,58.23,54.84,4.16
2017-01-16T12:40:00+01:00,39.57,32.12,58.93,56.42,2.49
2017-01-16T12:50:00+01:00,40.45,32.87,60.74,59.17,2.07
2017-01-16T13:00:00+01:00,41.31,33.42,59.9,57.37,2.0
2017-01-16T13:10:00+01:00,42.01,34.2,58.6,55.28,2.35
2017-01-16T13:20:00+01:00,42.73,35.19,58.71,55.62,2.39
2017-01-16T13:30:00+01:00,43.54,35.98,59.02,56.31,3.93
2017-01-16T13:40:00+01:00,44.35,36.66,59.06,56.29,3.97
2017-01-16T13:50:00+01:00,44.0,36.12,59.38,56.9,2.08
2017-01-16T14:00:00+01:00,39.82,32.93,60.37,59.06,0.93
2017-01-16T14:10:00+01:00,35.48,29.79,62.74,62.05,0.35
2017-01-16T14:20:00+01:00,34.03,29.51,62.49,61.01,0.34
2017-01-16T14:30:00+01:00,34.93,30.18,61.99,60.17,0.36
2017-01-16T14:40:00+01:00,36.09,31.02,60.27,58.62,0.35
2017-01-16T14:50:00+01:00,36.77,32.3,57.8,56.79,0.57
2017-01-16T15:00:00+01:00,36.84,32.55,55.44,54.9,0.28
2017-01-16T15:10:00+01:00,36.81,32.41,53.7,53.92,0.15
2017-01-16T15:20:00+01:00,36.21,30.77,54.24,53.3,0.06
2017-01-16T15:30:00+01:00,35.89,29.52,57.23,55.14,-0.13
2017-01-16T15:40:00+01:00,36.47,29.69,59.77,57.85,-0.25
2017-01-16T15:50:00+01:00,37.31,30.1,62.7,61.12,-0.42
2017-01-16T16:00:00+01:00,38.18,30.57,64.57,63.0,-0.54
2017-01-16T16:10:00+01:00,39.05,31.1,64.73,62.78,-0.56
2017-01-16T16:20:00+01:00,39.81,31.56,63.53,61.56,-0.68
2017-01-16T16:30:00+01:00,40.53,32.01,62.8,61.07,-0.78
2017-01-16T16:40:00+01:00,41.19,32.4,62.51,60.96,-0.84
2017-01-16T16:50:00+01:00,41.8,32.83,62.44,60.87,-0.84
2017-01-16T17:00:00+01:00,42.4,33.18,62.24,60.64,-0.94
